country,state,city,station,pollutant_id,pollutant_avg,KMeans,Agglo,DBSCAN,Anomaly
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",NH3,5.0,2,1,-1,1
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",PM2.5,31.0,0,3,-1,1
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NO2,19.0,0,3,-1,1
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",NH3,3.0,2,1,-1,1
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",OZONE,16.0,2,1,-1,1
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",PM10,39.0,0,3,-1,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",PM2.5,76.0,3,4,-1,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",PM10,62.0,4,2,-1,1
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",PM2.5,26.0,0,3,-1,1
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",OZONE,6.0,2,1,-1,1
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",NO2,14.0,2,1,-1,1
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",PM2.5,67.0,0,3,-1,1
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",NO2,11.0,2,1,-1,1
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",OZONE,15.0,2,1,-1,1
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",CO,10.0,2,1,-1,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",CO,22.0,2,1,-1,1
